CustomerID,Gender,Age,Region,MembershipLevel,VisitCount,AveragePurchaseAmount,TotalPurchaseAmount,SatisfactionScore,LastPurchaseDate,CouponUsed,PreferredCategory,SignupDate,Email,PurchaseStatus,AgeGroup,PurchaseGrade,RecenctPurchaseDays,SignedDays,AmountPerVisit
CUST100888,F,54.0,Busan,Silver,8,195400.0,858800.0,3.4,2026-05-12,N,Electronics,2024-12-14,customer888@example.com,1,50,3,20,534,107350
CUST101370,M,38.0,Gyeonggi,Basic,13,190800.0,1060200.0,3.3,2026-03-09,N,Electronics,2025-05-15,customer1370@example.com,1,30,3,84,382,81553
CUST100554,F,49.0,Gyeonggi,Silver,12,116900.0,378300.0,3.2,2026-01-02,Y,Electronics,2021-06-10,customer554@example.com,0,40,2,150,1817,31525
CUST100848,F,27.0,Gwangju,Vip,16,246700.0,1060200.0,4.3,2026-04-28,Y,Beauty,2020-10-06,customer848@example.com,1,20,3,34,2064,66262
CUST101052,M,47.0,Gwangju,Gold,5,136500.0,408100.0,2.4,2026-05-18,Y,Home,2022-04-02,customer1052@example.com,1,40,2,14,1521,81620
CUST100127,F,39.0,Daegu,Basic,6,13700.0,28100.0,2.8,2026-04-30,N,Home,2023-09-26,customer127@example.com,0,30,1,32,979,4683
CUST100311,F,46.0,Busan,Basic,7,108700.0,319900.0,5.0,2026-04-22,N,Food,2020-11-13,customer311@example.com,0,40,2,40,2026,45700
CUST100828,F,50.0,Incheon,Basic,15,112500.0,810200.0,4.2,2026-04-23,Y,Fashion,2021-07-29,customer828@example.com,1,50,3,39,1768,54013
CUST100425,M,22.0,Gyeonggi,Basic,10,103200.0,228800.0,4.9,2026-06-20,N,Sports,2025-03-30,customer425@example.com,1,20,2,-19,428,22880
CUST101257,M,43.0,Gwangju,Basic,13,154600.0,452600.0,3.2,2026-04-04,N,Fashion,2023-04-09,customer1257@example.com,1,40,2,58,1149,34815
CUST100520,M,43.0,Gwangju,Basic,9,96100.0,337200.0,3.2,2026-04-29,Y,Home,2022-08-11,customer520@example.com,1,40,2,33,1390,37466
CUST101042,M,27.0,Incheon,Basic,10,95800.0,322600.0,3.9,2025-11-30,N,Food,2025-12-04,customer1042@example.com,1,20,2,183,179,32260
CUST100115,M,51.0,Gyeonggi,Silver,7,116900.0,475900.0,4.8,2026-05-23,Y,Sports,2023-01-26,customer115@example.com,1,50,2,9,1222,67985
CUST100966,F,40.0,Busan,Basic,4,86500.0,156000.0,3.1,2026-05-25,N,Food,2022-02-13,customer966@example.com,0,40,1,7,1569,39000
CUST100898,M,39.0,Seoul,Silver,6,51300.0,159700.0,2.7,2026-06-22,N,Fashion,2020-07-21,customer898@example.com,0,30,1,-21,2141,26616
CUST100865,F,39.0,Gyeonggi,Vip,9,209200.0,445200.0,3.4,2026-04-08,Y,Sports,2025-03-17,customer865@example.com,1,30,2,54,441,49466
CUST100158,M,37.0,Seoul,Vip,10,213600.0,597100.0,3.9,2026-02-06,N,Food,2024-07-09,customer158@example.com,1,30,3,115,692,59710
CUST100480,M,50.0,Seoul,Basic,6,87600.0,89000.0,4.3,2026-05-03,N,Beauty,2024-05-02,customer480@example.com,0,50,1,29,760,14833
CUST100734,M,39.0,Gyeonggi,Silver,9,110000.0,245700.0,3.3,2026-03-29,N,Home,2023-09-23,customer734@example.com,0,30,2,64,982,27300
CUST101379,M,62.0,Busan,Basic,7,45100.0,97400.0,4.2,2026-04-19,N,Sports,2025-06-24,customer1379@example.com,0,60,1,43,342,13914
CUST100206,M,27.0,Gyeonggi,Silver,14,132800.0,628300.0,3.6,2026-04-11,Y,Sports,2024-05-18,customer206@example.com,0,20,3,51,744,44878
CUST101293,F,43.0,Busan,Basic,5,172000.0,483700.0,4.1,2026-05-11,Y,Electronics,2024-02-12,customer1293@example.com,1,40,2,21,840,96740
CUST100042,F,44.0,Seoul,Silver,5,131000.0,288900.0,2.7,2026-04-20,N,Fashion,2022-10-15,customer42@example.com,0,40,2,42,1325,57780
CUST100252,M,46.0,Gyeonggi,Basic,7,117500.0,231400.0,4.2,2026-04-04,Y,Fashion,2024-12-29,customer252@example.com,1,40,2,58,519,33057
CUST100411,M,24.0,Gyeonggi,Gold,10,155700.0,276800.0,3.6,2026-04-17,Y,Sports,2022-03-31,customer411@example.com,1,20,2,45,1523,27680
CUST100891,F,37.0,Daegu,Basic,4,44300.0,1060200.0,3.7,2026-02-08,Y,Beauty,2025-04-26,customer891@example.com,0,30,3,113,401,265050
CUST100884,M,22.0,Incheon,Basic,12,87500.0,517800.0,4.7,2026-02-11,Y,Fashion,2024-06-21,customer884@example.com,0,20,2,110,710,43150
CUST100469,M,30.0,Gyeonggi,Silver,17,212700.0,701600.0,3.9,2025-12-21,Y,Electronics,2022-12-23,customer469@example.com,1,30,3,162,1256,41270
CUST101073,F,40.0,Seoul,Gold,9,102000.0,464800.0,3.7,2026-03-01,N,Home,2020-11-07,customer1073@example.com,1,40,2,92,2032,51644
CUST100463,F,41.0,Gwangju,Gold,9,44900.0,149500.0,2.4,2026-04-20,N,Fashion,2023-06-03,customer463@example.com,0,40,1,42,1094,16611
CUST100299,F,36.0,Incheon,Basic,12,95400.0,517600.0,3.2,2026-03-24,N,Food,2022-05-22,customer299@example.com,1,30,2,69,1471,43133
CUST101254,F,28.0,Gyeonggi,Basic,9,117500.0,404200.0,5.0,2026-06-05,Y,Food,2021-09-27,customer1254@example.com,1,20,2,-4,1708,44911
CUST100146,F,33.0,Gyeonggi,Basic,8,117500.0,47900.0,2.3,2026-05-29,Y,Food,2024-04-30,customer146@example.com,0,30,1,3,762,5987
CUST100701,M,34.0,Busan,Basic,7,124400.0,408900.0,4.3,2026-05-31,Y,Beauty,2020-08-10,customer701@example.com,1,30,2,1,2121,58414
CUST100590,F,46.0,Daegu,Silver,10,122600.0,675000.0,3.1,2026-01-30,Y,Food,2021-06-09,customer590@example.com,0,40,3,122,1818,67500
CUST101337,M,23.0,Seoul,Basic,8,46900.0,92600.0,3.7,2026-05-16,N,Fashion,2025-06-15,customer1337@example.com,0,20,1,16,351,11575
CUST101301,F,22.0,Gyeonggi,Gold,8,180100.0,335600.0,3.4,2026-04-29,N,Electronics,2021-10-13,customer1301@example.com,1,20,2,33,1692,41950
CUST100103,M,37.0,Daejeon,Basic,5,69900.0,178900.0,4.2,2026-03-22,N,Food,2025-05-26,customer103@example.com,1,30,1,71,371,35780
CUST100527,F,41.0,Seoul,Basic,7,50000.0,98800.0,3.3,2026-04-17,N,Home,2022-11-21,customer527@example.com,0,40,1,45,1288,14114
CUST100791,F,34.0,Busan,Silver,12,207400.0,1060200.0,3.3,2026-02-09,Y,Sports,2021-07-04,customer791@example.com,1,30,3,112,1793,88350
CUST101372,F,25.0,Seoul,Silver,8,59900.0,221100.0,4.6,2026-03-28,N,Food,2025-12-16,customer1372@example.com,1,20,2,65,167,27637
CUST101218,F,63.0,Seoul,Gold,8,127200.0,439700.0,4.0,2026-03-06,N,Beauty,2024-07-22,customer1218@example.com,1,60,2,87,679,54962
CUST100214,F,38.0,Seoul,Vip,11,235200.0,811300.0,3.3,2026-06-07,N,Electronics,2023-11-02,customer214@example.com,1,30,3,-6,942,73754
CUST100870,F,37.0,Seoul,Basic,9,50100.0,163900.0,4.5,2026-03-15,Y,Beauty,2024-02-06,customer870@example.com,0,30,1,78,846,18211
CUST100349,F,35.0,Seoul,Gold,9,165400.0,814500.0,3.7,2026-05-29,Y,Home,2025-01-31,customer349@example.com,1,30,3,3,486,90500
CUST101196,M,39.0,Gyeonggi,Gold,12,91500.0,176900.0,3.8,2026-02-01,Y,Food,2020-10-16,customer1196@example.com,1,30,1,120,2054,14741
CUST101258,F,31.0,Gyeonggi,Basic,3,5000.0,5600.0,3.7,2026-05-31,Y,Home,2024-12-24,customer1258@example.com,0,30,1,1,524,1866
CUST100991,M,39.0,Seoul,Silver,11,169800.0,389500.0,3.9,2026-01-15,N,Fashion,2023-06-01,customer991@example.com,0,30,2,137,1096,35409
CUST100598,M,50.0,Gwangju,Silver,10,126100.0,262700.0,2.2,2026-05-12,N,Beauty,2020-09-14,customer598@example.com,0,50,2,20,2086,26270
CUST100455,M,34.0,Seoul,Silver,17,116300.0,121000.0,3.0,2026-03-14,Y,Fashion,2025-10-25,customer455@example.com,0,30,1,79,219,7117
CUST100307,M,39.0,Seoul,Gold,7,145300.0,394300.0,2.5,2026-03-07,N,Fashion,2023-08-01,customer307@example.com,0,30,2,86,1035,56328
CUST100914,M,34.0,Daejeon,Basic,9,56000.0,52300.0,3.7,2026-03-13,N,Food,2025-11-15,customer914@example.com,0,30,1,80,198,5811
CUST100014,M,50.0,Daegu,Silver,12,162300.0,1060200.0,4.1,2026-03-06,Y,Electronics,2025-12-21,customer14@example.com,1,50,3,87,162,88350
CUST100046,M,26.0,Gwangju,Silver,10,150400.0,460200.0,4.7,2026-05-07,Y,Fashion,2022-07-14,customer46@example.com,1,20,2,25,1418,46020
CUST101057,M,31.0,Gyeonggi,Basic,7,103500.0,286300.0,3.3,2026-05-17,N,Food,2025-12-24,customer1057@example.com,0,30,2,15,159,40900
CUST100592,F,38.0,Seoul,Silver,11,133800.0,833100.0,4.6,2026-05-28,N,Beauty,2022-02-26,customer592@example.com,1,30,3,4,1556,75736
CUST100625,F,33.0,Gyeonggi,Silver,10,106500.0,465300.0,4.5,2026-03-07,Y,Home,2025-06-28,customer625@example.com,1,30,2,86,338,46530
CUST101043,F,31.0,Seoul,Vip,6,246700.0,777400.0,3.2,2026-05-24,Y,Food,2021-11-13,customer1043@example.com,1,30,3,8,1661,129566
CUST101190,M,45.0,Gyeonggi,Basic,4,64700.0,118600.0,4.3,2026-05-23,Y,Home,2024-08-11,customer1190@example.com,0,40,1,9,659,29650
CUST100595,M,42.0,Gyeonggi,Basic,10,143400.0,728100.0,3.0,2026-04-28,N,Food,2021-08-17,customer595@example.com,0,40,3,34,1749,72810
CUST100391,M,41.0,Seoul,Silver,8,146900.0,406900.0,3.2,2026-05-18,Y,Food,2023-11-27,customer391@example.com,1,40,2,14,917,50862
CUST100501,F,47.0,Daegu,Silver,11,92600.0,417900.0,4.4,2026-04-28,N,Food,2021-05-15,customer501@example.com,1,40,2,34,1843,37990
CUST100218,F,32.0,Seoul,Basic,16,154200.0,475100.0,2.7,2026-05-23,N,Home,2025-06-09,customer218@example.com,1,30,2,9,357,29693
CUST100576,M,42.0,Daejeon,Gold,5,202000.0,390900.0,4.4,2026-04-09,Y,Beauty,2023-04-07,customer576@example.com,1,40,2,53,1151,78180
CUST100117,M,28.0,Seoul,Basic,8,48500.0,160000.0,3.7,2026-03-30,N,Electronics,2024-12-09,customer117@example.com,1,20,1,63,539,20000
CUST100766,M,49.0,Gyeonggi,Gold,7,205300.0,217500.0,4.5,2026-03-08,Y,Home,2021-03-07,customer766@example.com,1,40,2,85,1912,31071
CUST100647,F,53.0,Incheon,Gold,9,162200.0,485300.0,4.3,2026-04-04,N,Food,2025-04-21,customer647@example.com,1,50,2,58,406,53922
CUST101132,M,18.0,Seoul,Gold,7,129100.0,120300.0,3.5,2026-06-20,N,Fashion,2023-08-14,customer1132@example.com,0,10,1,-19,1022,17185
CUST100001,M,60.0,Gyeonggi,Basic,9,106900.0,475000.0,4.2,2026-05-31,N,Home,2024-09-25,customer1@example.com,1,60,2,1,614,52777
CUST100061,F,48.0,Daegu,Vip,15,174800.0,747800.0,3.2,2026-06-25,N,Beauty,2021-09-29,customer61@example.com,1,40,3,-24,1706,49853
CUST101460,M,53.0,Gyeonggi,Silver,10,133400.0,364900.0,3.1,2026-02-19,N,Home,2021-04-26,customer1460@example.com,0,50,2,102,1862,36490
CUST100325,F,51.0,Gwangju,Gold,11,198400.0,1060200.0,3.3,2026-01-26,N,Food,2025-11-13,customer325@example.com,1,50,3,126,200,96381
CUST100019,M,33.0,Gyeonggi,Basic,9,72100.0,313900.0,3.7,2026-02-12,N,Beauty,2022-03-02,customer19@example.com,0,30,2,109,1552,34877
CUST101200,F,18.0,Busan,Basic,9,61300.0,196000.0,3.0,2025-12-15,N,Fashion,2025-05-23,customer1200@example.com,0,10,2,168,374,21777
CUST101056,F,44.0,Busan,Silver,10,96600.0,450400.0,1.8,2025-12-24,N,Home,2021-02-11,customer1056@example.com,0,40,2,159,1936,45040
CUST100890,M,38.0,Busan,Basic,8,71000.0,186500.0,3.6,2026-05-21,Y,Beauty,2023-06-12,customer890@example.com,0,30,2,11,1085,23312
CUST100077,F,57.0,Gwangju,Silver,17,117500.0,711200.0,2.7,2026-05-05,Y,Electronics,2024-12-09,customer77@example.com,1,50,3,27,539,41835
CUST100495,F,50.0,Gyeonggi,Basic,11,108600.0,298300.0,3.7,2026-02-20,N,Sports,2023-03-11,customer495@example.com,1,50,2,101,1178,27118
CUST100780,F,52.0,Seoul,Basic,14,21500.0,142600.0,2.1,2026-05-06,N,Food,2022-12-18,customer780@example.com,0,50,1,26,1261,10185
CUST100924,F,38.0,Incheon,Basic,12,126400.0,646800.0,4.4,2026-01-05,Y,Fashion,2021-03-18,customer924@example.com,1,30,3,147,1901,53900
CUST100358,F,41.0,Gyeonggi,Basic,8,66300.0,120700.0,4.5,2026-04-04,Y,Fashion,2023-09-22,customer358@example.com,0,40,1,58,983,15087
CUST100797,F,43.0,Incheon,Silver,9,117500.0,322000.0,3.7,2026-06-05,N,Beauty,2024-09-15,customer797@example.com,0,40,2,-4,624,35777
CUST100029,F,42.0,Daegu,Basic,4,65900.0,1060200.0,3.7,2026-01-12,Y,Electronics,2023-02-17,customer29@example.com,0,40,3,140,1200,265050
CUST101035,F,40.0,Seoul,Silver,11,137700.0,581100.0,3.8,2026-06-21,Y,Fashion,2022-08-10,customer1035@example.com,1,40,3,-20,1391,52827
CUST100012,F,32.0,Seoul,Basic,8,91500.0,236200.0,4.8,2026-05-03,Y,Fashion,2025-12-18,customer12@example.com,1,30,2,29,165,29525
CUST100742,F,42.0,Gyeonggi,Silver,12,117500.0,428500.0,2.1,2026-05-30,N,Home,2023-02-08,customer742@example.com,1,40,2,2,1209,35708
CUST100387,F,32.0,Seoul,Basic,6,49700.0,54300.0,2.2,2026-01-17,N,Sports,2024-01-15,customer387@example.com,0,30,1,135,868,9050
CUST100243,M,23.0,Gyeonggi,Basic,12,54400.0,117200.0,5.0,2026-05-23,N,Food,2024-12-22,customer243@example.com,0,20,1,9,526,9766
CUST100235,M,18.0,Gyeonggi,Basic,5,28900.0,31300.0,4.8,2026-04-08,N,Fashion,2022-06-24,customer235@example.com,0,10,1,54,1438,6260
CUST100453,F,39.0,Gyeonggi,Gold,12,171200.0,339400.0,3.2,2026-06-24,N,Fashion,2024-08-10,customer453@example.com,1,30,2,-23,660,28283
CUST100102,F,56.0,Daejeon,Silver,11,86600.0,198800.0,4.9,2026-06-04,N,Fashion,2021-08-09,customer102@example.com,1,50,2,-3,1757,18072
CUST100422,F,46.0,Gyeonggi,Gold,13,133700.0,374300.0,3.6,2026-04-05,N,Beauty,2021-04-19,customer422@example.com,1,40,2,57,1869,28792
CUST100530,M,38.0,Gyeonggi,Gold,11,118300.0,439300.0,3.7,2026-03-24,Y,Sports,2022-04-15,customer530@example.com,1,30,2,69,1508,39936
CUST101145,M,36.0,Daegu,Basic,9,27100.0,75000.0,3.3,2026-04-19,N,Home,2020-09-18,customer1145@example.com,1,30,1,43,2082,8333
CUST100031,F,52.0,Seoul,Basic,16,117500.0,1060200.0,3.3,2026-03-29,N,Fashion,2024-05-20,customer31@example.com,1,50,3,64,742,66262
CUST101061,F,32.0,Daejeon,Basic,12,113000.0,595700.0,4.5,2026-04-24,Y,Sports,2025-02-12,customer1061@example.com,1,30,3,38,474,49641
CUST100948,M,29.0,Daejeon,Silver,6,10500.0,23400.0,2.5,2026-03-16,N,Fashion,2025-02-01,customer948@example.com,0,20,1,77,485,3900
CUST101195,M,48.0,Gwangju,Gold,8,112500.0,486700.0,3.3,2026-04-05,N,Food,2025-06-30,customer1195@example.com,1,40,2,57,336,60837
CUST100802,F,56.0,Seoul,Gold,11,144000.0,654000.0,2.3,2026-06-01,Y,Beauty,2021-10-06,customer802@example.com,0,50,3,0,1699,59454
CUST100310,F,61.0,Incheon,Basic,9,45500.0,92200.0,3.3,2026-06-02,Y,Sports,2025-03-28,customer310@example.com,0,60,1,-1,430,10244
CUST100631,M,39.0,Seoul,Silver,6,66100.0,70600.0,3.8,2026-06-16,N,Fashion,2023-09-14,customer631@example.com,0,30,1,-15,991,11766
CUST100543,F,35.0,Gyeonggi,Basic,6,101700.0,190400.0,3.2,2026-02-27,Y,Electronics,2024-05-27,customer543@example.com,0,30,2,94,735,31733
CUST100846,F,36.0,Daejeon,Basic,9,150800.0,438100.0,2.7,2026-05-29,N,Beauty,2021-05-12,customer846@example.com,1,30,2,3,1846,48677
CUST100080,M,23.0,Seoul,Silver,9,154000.0,294700.0,2.4,2026-06-01,Y,Food,2022-11-16,customer80@example.com,0,20,2,0,1293,32744
CUST100877,M,31.0,Daegu,Basic,9,117500.0,359600.0,3.1,2026-03-11,N,Fashion,2024-12-07,customer877@example.com,0,30,2,82,541,39955
CUST100762,M,50.0,Seoul,Silver,6,114700.0,229400.0,4.1,2026-06-06,N,Food,2022-12-14,customer762@example.com,0,50,2,-5,1265,38233
CUST100149,F,38.0,Gwangju,Gold,5,240000.0,440500.0,3.4,2026-01-08,Y,Electronics,2024-09-15,customer149@example.com,1,30,2,144,624,88100
CUST100718,F,42.0,Seoul,Silver,11,83400.0,481600.0,3.8,2026-02-19,Y,Home,2022-07-15,customer718@example.com,1,40,2,102,1417,43781
CUST100584,M,34.0,Seoul,Basic,16,91800.0,283000.0,3.6,2025-08-29,N,Food,2024-09-13,customer584@example.com,1,30,2,276,626,17687
CUST100689,M,50.0,Gyeonggi,Silver,7,61200.0,136300.0,3.6,2026-06-04,N,Food,2024-08-17,customer689@example.com,0,50,1,-3,653,19471
CUST100951,F,40.0,Busan,Basic,11,89600.0,571000.0,2.3,2026-03-02,Y,Food,2023-12-19,customer951@example.com,1,40,3,91,895,51909
CUST100707,F,29.0,Seoul,Basic,6,95300.0,184900.0,4.5,2026-05-28,Y,Beauty,2021-08-24,customer707@example.com,0,20,2,4,1742,30816
CUST100032,M,54.0,Daegu,Silver,9,125800.0,585100.0,3.4,2026-05-19,N,Fashion,2025-10-05,customer32@example.com,1,50,3,13,239,65011
CUST100674,M,51.0,Daegu,Basic,13,73700.0,157500.0,3.8,2026-03-12,N,Sports,2024-10-25,customer674@example.com,1,50,1,81,584,12115
CUST100068,F,47.0,Daejeon,Vip,9,246700.0,717100.0,3.1,2026-05-13,N,Home,2025-12-11,customer68@example.com,1,40,3,19,172,79677
CUST100216,M,39.0,Incheon,Gold,9,188000.0,742200.0,4.0,2026-06-01,N,Home,2023-05-16,customer216@example.com,1,30,3,0,1112,82466
CUST101454,F,33.0,Seoul,Basic,9,125600.0,549200.0,3.4,2026-04-20,Y,Beauty,2020-08-13,customer1454@example.com,0,30,3,42,2118,61022
CUST100557,M,31.0,Gwangju,Gold,3,137100.0,289900.0,5.0,2026-05-18,N,Home,2024-08-20,customer557@example.com,1,30,2,14,650,96633
CUST100650,F,22.0,Daejeon,Basic,8,72200.0,131200.0,4.0,2026-04-21,N,Fashion,2022-12-28,customer650@example.com,0,20,1,41,1251,16400
CUST100118,F,58.0,Seoul,Vip,8,135300.0,134900.0,3.0,2026-01-19,Y,Fashion,2023-12-09,customer118@example.com,1,50,1,133,905,16862
CUST100417,F,35.0,Daegu,Basic,14,119800.0,679800.0,4.6,2026-03-26,Y,Electronics,2021-09-18,customer417@example.com,1,30,3,67,1717,48557
CUST100832,F,53.0,Gyeonggi,Gold,11,74400.0,265800.0,5.0,2026-05-11,N,Sports,2021-07-27,customer832@example.com,1,50,2,21,1770,24163
